index,antecedent,consequent,basket_rule,support,confidence,lift
3315,"['Kotlin', 'React Native', 'TDD']","['Android', 'JavaScript']","['Kotlin', 'React Native', 'TDD']->['Android', 'JavaScript']",0.15789473684210525,1.0,6.333333333333333
3314,"['Android', 'JavaScript', 'Kotlin', 'React Native']",['TDD'],"['Android', 'JavaScript', 'Kotlin', 'React Native']->['TDD']",0.15789473684210525,1.0,4.749999999999999
3313,"['Android', 'JavaScript', 'Kotlin', 'TDD']",['React Native'],"['Android', 'JavaScript', 'Kotlin', 'TDD']->['React Native']",0.15789473684210525,1.0,6.333333333333333
3312,"['Android', 'JavaScript', 'React Native', 'TDD']",['Kotlin'],"['Android', 'JavaScript', 'React Native', 'TDD']->['Kotlin']",0.15789473684210525,1.0,4.749999999999999
3311,"['Android', 'Kotlin', 'React Native', 'TDD']",['JavaScript'],"['Android', 'Kotlin', 'React Native', 'TDD']->['JavaScript']",0.15789473684210525,1.0,6.333333333333333
3310,"['JavaScript', 'Kotlin', 'React Native', 'TDD']",['Android'],"['JavaScript', 'Kotlin', 'React Native', 'TDD']->['Android']",0.15789473684210525,1.0,3.8
3306,['React Native'],"['Android', 'HTML', 'Kotlin', 'TDD']","['React Native']->['Android', 'HTML', 'Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3304,"['Android', 'HTML']","['Kotlin', 'React Native', 'TDD']","['Android', 'HTML']->['Kotlin', 'React Native', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3302,"['Android', 'React Native']","['HTML', 'Kotlin', 'TDD']","['Android', 'React Native']->['HTML', 'Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3301,"['Android', 'TDD']","['HTML', 'Kotlin', 'React Native']","['Android', 'TDD']->['HTML', 'Kotlin', 'React Native']",0.15789473684210525,1.0,6.333333333333333
3300,"['HTML', 'Kotlin']","['Android', 'React Native', 'TDD']","['HTML', 'Kotlin']->['Android', 'React Native', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3299,"['HTML', 'React Native']","['Android', 'Kotlin', 'TDD']","['HTML', 'React Native']->['Android', 'Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3276,['React Native'],"['Android', 'HTML', 'JavaScript', 'TDD']","['React Native']->['Android', 'HTML', 'JavaScript', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3274,"['Android', 'HTML']","['JavaScript', 'React Native', 'TDD']","['Android', 'HTML']->['JavaScript', 'React Native', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3273,"['Android', 'JavaScript']","['HTML', 'React Native', 'TDD']","['Android', 'JavaScript']->['HTML', 'React Native', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3254,"['Android', 'HTML', 'JavaScript', 'React Native']",['TDD'],"['Android', 'HTML', 'JavaScript', 'React Native']->['TDD']",0.15789473684210525,1.0,4.749999999999999
3252,"['Android', 'HTML', 'React Native', 'TDD']",['JavaScript'],"['Android', 'HTML', 'React Native', 'TDD']->['JavaScript']",0.15789473684210525,1.0,6.333333333333333
3251,"['Android', 'JavaScript', 'React Native', 'TDD']",['HTML'],"['Android', 'JavaScript', 'React Native', 'TDD']->['HTML']",0.15789473684210525,1.0,4.749999999999999
3250,"['HTML', 'JavaScript', 'React Native', 'TDD']",['Android'],"['HTML', 'JavaScript', 'React Native', 'TDD']->['Android']",0.15789473684210525,1.0,3.8
3247,['JavaScript'],"['Android', 'HTML', 'Kotlin', 'TDD']","['JavaScript']->['Android', 'HTML', 'Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3244,"['Android', 'HTML']","['JavaScript', 'Kotlin', 'TDD']","['Android', 'HTML']->['JavaScript', 'Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3243,"['Android', 'JavaScript']","['HTML', 'Kotlin', 'TDD']","['Android', 'JavaScript']->['HTML', 'Kotlin', 'TDD']",0.15789473684210525,1.0,6.333333333333333
3241,"['Android', 'TDD']","['HTML', 'JavaScript', 'Kotlin']","['Android', 'TDD']->['HTML', 'JavaScript', 'Kotlin']",0.15789473684210525,1.0,6.333333333333333
